Company Name,Website URL,Confidence,Track,Primary Category,Subcategory,Secondary Tags
Climate Collective AI Climate Accelerator,https://climatecollective.org,CONFIDENT,Funders & Capital,Accelerators,Climate & Cleantech,"AI for Good, Carbon & Climate Tech"
Clinton Foundation,https://www.clintonfoundation.org,CONFIDENT,Funders & Capital,Foundations & Grants,Corporate Foundations,"Global Development, Health & Wellness"
CNote,https://cnote.com,CONFIDENT,Funders & Capital,Debt & Lending,CDFIs,"Economic Inclusion, Gender Equity"
Collab Capital,https://collabcapital.com,CONFIDENT,Funders & Capital,Venture Capital,Impact VC,Economic Inclusion
Community Reinvestment Fund,https://crfusa.com,CONFIDENT,Funders & Capital,Debt & Lending,CDFIs,"Economic Inclusion, Homelessness & Housing"
Company Ventures,https://companyventures.co,VERIFY,Funders & Capital,Venture Capital,Seed & Pre-Seed,
Convergence,https://convergence.finance,CONFIDENT,Funders & Capital,Foundations & Grants,DAF Platforms,"Catalytic Capital, Global Development"
CoPeace Holdings,https://copeace.com,VERIFY,Funders & Capital,Venture Capital,Impact VC,
Deetken Impact,https://deetkenimpact.com,CONFIDENT,Funders & Capital,Venture Capital,Impact VC,"Economic Inclusion, Global Development"
Domini,https://domini.com,CONFIDENT,Funders & Capital,Venture Capital,Impact VC,
Dream Labs,https://dreamlabs.vc,VERIFY,Funders & Capital,Venture Capital,Impact VC,
Echoing Green,https://echoinggreen.org,CONFIDENT,Funders & Capital,Foundations & Grants,Corporate Foundations,"Fellowship Programs, Social Enterprise"
Elemental Excelerator,https://elementalimpact.com,CONFIDENT,Funders & Capital,Accelerators,Climate & Cleantech,Economic Inclusion
Elevar Equity,https://elevarequity.com,CONFIDENT,Funders & Capital,Venture Capital,Impact VC,"Economic Inclusion, Global Development"
era92,https://era92.org,VERIFY,Funders & Capital,Accelerators,Social Enterprise,"Youth & Education, Economic Inclusion"
Farmland LP,https://farmlandlp.com,CONFIDENT,Funders & Capital,Venture Capital,Impact VC,"Regenerative Ag., Food Systems"
Fashion for Good Accelerator,https://fashionforgood.com,CONFIDENT,Funders & Capital,Accelerators,Climate & Cleantech,"Apparel & Footwear, Circular Economy"
Fast Forward,https://www.ffwd.org,CONFIDENT,Funders & Capital,Accelerators,Tech Nonprofits,
Founding To Give,https://foundingtogive.com,VERIFY,Funders & Capital,Accelerators,Social Enterprise,
Fresh Ventures,https://freshventures.nl,CONFIDENT,Funders & Capital,Accelerators,Social Enterprise,"Food Systems, Regenerative Ag."
FullCycle,https://fullcycle.com,VERIFY,Funders & Capital,Venture Capital,Climate Tech VC,Carbon & Climate Tech
Future Planet Capital,https://futureplanetcapital.com,CONFIDENT,Funders & Capital,Venture Capital,Growth Equity,Climate Tech VC
gBETA Social Impact,https://gbetasocialimpact.com,CONFIDENT,Funders & Capital,Accelerators,Social Enterprise,"Youth & Education, Criminal Justice Reform"
Global Good Fund,https://globalgoodfund.org,CONFIDENT,Funders & Capital,Foundations & Grants,Fellowship Programs,"Workforce Development, Youth & Education"
Global Partnerships,https://globalpartnerships.org,CONFIDENT,Funders & Capital,Debt & Lending,Microfinance,"Economic Inclusion, Global Development"
Global Ventures,https://global.vc,CONFIDENT,Funders & Capital,Venture Capital,Growth Equity,"Economic Inclusion, Global Development"
Good Capital Investment Group,https://goodcapital.com,VERIFY,Funders & Capital,Venture Capital,Impact VC,
Good Fashion Fund,https://goodfashionfund.com,CONFIDENT,Funders & Capital,Venture Capital,Impact VC,"Apparel & Footwear, Circular Economy"
Google.org,https://www.google.org,CONFIDENT,Funders & Capital,Foundations & Grants,Corporate Foundations,"Ed Tech, AI for Good"
Grantham Foundation,https://granthamfoundation.org,CONFIDENT,Funders & Capital,Foundations & Grants,Corporate Foundations,Carbon & Climate Tech
Gratitude Network Fellowship,https://gratitudenetwork.net,CONFIDENT,Funders & Capital,Accelerators,Fellowship Programs,Youth & Education
Gratitude Railroad,https://gratituderailroad.com,VERIFY,Funders & Capital,Venture Capital,Impact VC,
Greenlight Fund,https://greenlightfund.org,CONFIDENT,Funders & Capital,Foundations & Grants,Corporate Foundations,Workforce Development
Greentech Asia by Village Capital,https://vilcap.com,CONFIDENT,Funders & Capital,Accelerators,Climate & Cleantech,"Economic Inclusion, Global Development"
Greentown Labs,https://greentownlabs.com,CONFIDENT,Funders & Capital,Accelerators,Climate & Cleantech,Carbon & Climate Tech
Halcyon Accelerator,https://halcyon.org,CONFIDENT,Funders & Capital,Accelerators,Social Enterprise,Fellowship Programs
Hasten Ventures,https://hastenventures.com,VERIFY,Funders & Capital,Venture Capital,Climate Tech VC,Biodiversity
Hopelab Ventures,https://hopelab.org,CONFIDENT,Funders & Capital,Venture Capital,Impact VC,"Health Tech, Youth & Education"
Human Ventures,https://human.vc,CONFIDENT,Funders & Capital,Venture Capital,Seed & Pre-Seed,
Hustle Fund,https://hustlefund.vc,CONFIDENT,Funders & Capital,Venture Capital,Seed & Pre-Seed,Economic Inclusion
ICA Fund,https://icafund.org,VERIFY,Funders & Capital,Debt & Lending,CDFIs,Economic Inclusion
IKEA Social Entrepreneurship Accelerator,https://www.ikeasocialentrepreneurship.org,CONFIDENT,Funders & Capital,Accelerators,Social Enterprise,Economic Inclusion
Illumen Capital,https://illumencapital.com,CONFIDENT,Funders & Capital,Venture Capital,Impact VC,
Impact Engine,https://theimpactengine.com,CONFIDENT,Funders & Capital,Venture Capital,Impact VC,
JDRF T1D Fund,https://t1dfund.org,CONFIDENT,Funders & Capital,Foundations & Grants,Corporate Foundations,Health Tech
Kalytix Ventures,https://kalytixventures.com,VERIFY,Funders & Capital,Venture Capital,Seed & Pre-Seed,
KAPITALS,https://kapitals.com,VERIFY,Funders & Capital,Venture Capital,Impact VC,Economic Inclusion
Karma Wallet,https://karmawallet.io,CONFIDENT,Funders & Capital,Venture Capital,Impact VC,Impact Fintech
Katapult Africa Accelerator,https://katapult.vc,CONFIDENT,Funders & Capital,Accelerators,Climate & Cleantech,"Food Systems, Global Development"
Kinara Capital,https://kinaracapital.com,CONFIDENT,Funders & Capital,Debt & Lending,Microfinance,Economic Inclusion
King Philanthropies,https://kingphilanthropies.org,VERIFY,Funders & Capital,Foundations & Grants,Family Offices,Carbon & Climate Tech
LeapFrog Investments,https://leapfroginvest.com,CONFIDENT,Funders & Capital,Venture Capital,Growth Equity,"Health Tech, Economic Inclusion"
Limitless Ventures,https://limitlessventures.com,VERIFY,Funders & Capital,Venture Capital,Seed & Pre-Seed,
LowCarbon.Earth,https://lowcarbon.earth,CONFIDENT,Funders & Capital,Accelerators,Climate & Cleantech,Clean Energy
Lowercarbon Capital,https://lowercarbon.com,CONFIDENT,Funders & Capital,Venture Capital,Climate Tech VC,Carbon & Climate Tech
Masawa Fund,https://masawa.fund,CONFIDENT,Funders & Capital,Foundations & Grants,Corporate Foundations,"Health Tech, Youth & Education"
Media Development Loan Fund,https://mdif.org,CONFIDENT,Funders & Capital,Debt & Lending,Catalytic Capital,Global Development
Mercy Corps Ventures,https://www.mercycorps.org/ventures,CONFIDENT,Funders & Capital,Venture Capital,Impact VC,"Economic Inclusion, Global Development"
MIH Impact Venture Capital,https://mihimpact.com,VERIFY,Funders & Capital,Venture Capital,Impact VC,
Miller Center for Social Entrepreneurship,https://millercenterglobal.org,CONFIDENT,Funders & Capital,Accelerators,Social Enterprise,"Gender Equity, Regenerative Ag."
Mission-Driven Finance,https://missiondrivenfinance.com,CONFIDENT,Funders & Capital,Debt & Lending,CDFIs,Economic Inclusion
MIT Solve,https://solve.mit.edu,CONFIDENT,Funders & Capital,Accelerators,Social Enterprise,Global Development
Momentus Capital,https://momentuscap.org,CONFIDENT,Funders & Capital,Debt & Lending,CDFIs,Economic Inclusion
Moore Ventures,https://mooreventures.com,VERIFY,Funders & Capital,Venture Capital,Climate Tech VC,
MUUS Climate Partners,https://muusclimate.com,CONFIDENT,Funders & Capital,Venture Capital,Climate Tech VC,Carbon & Climate Tech
NeSST,https://www.nesst.org,CONFIDENT,Funders & Capital,Debt & Lending,Catalytic Capital,"Economic Inclusion, Global Development"
Nest,https://www.buildanest.org,CONFIDENT,Funders & Capital,Foundations & Grants,Corporate Foundations,"Economic Inclusion, Arts & Culture"
New Age Capital,https://newage.vc,VERIFY,Funders & Capital,Venture Capital,Seed & Pre-Seed,Workforce Development
New Climate Ventures,https://newclimateventures.com,VERIFY,Funders & Capital,Venture Capital,Climate Tech VC,Carbon & Climate Tech
New Profit,https://newprofit.org,CONFIDENT,Funders & Capital,Venture Capital,Impact VC,"Workforce Development, Youth & Education"
New Ventures,https://new-ventures.org,CONFIDENT,Funders & Capital,Accelerators,Social Enterprise,"Economic Inclusion, Global Development"
Norrsken VC,https://www.norrsken.org,CONFIDENT,Funders & Capital,Venture Capital,Impact VC,Climate Tech VC
O'Shaughnessy Fellowships,https://oshaughnessyfellowships.com,CONFIDENT,Funders & Capital,Accelerators,Fellowship Programs,
Obvious Ventures,https://obvious.com,CONFIDENT,Funders & Capital,Venture Capital,Impact VC,
OceanHub Africa,https://oceanhub.org,CONFIDENT,Funders & Capital,Accelerators,Climate & Cleantech,"Ocean & Water, Biodiversity"
One Acre Fund,https://oneacrefund.org,CONFIDENT,Funders & Capital,Debt & Lending,Microfinance,"Food Systems, Regenerative Ag."
Pay it Forward Ventures,https://payitforwardventures.com,VERIFY,Funders & Capital,Venture Capital,Impact VC,
Planet A Ventures,https://planet-a.com,CONFIDENT,Funders & Capital,Venture Capital,Climate Tech VC,Carbon & Climate Tech
Plum Alley,https://plumalley.co,CONFIDENT,Funders & Capital,Venture Capital,Impact VC,Gender Equity
Provenance Capital Group,https://provenancecapitalgroup.com,VERIFY,Funders & Capital,Venture Capital,Impact VC,"Regenerative Ag., Food Systems"
PurposeTech,https://purposetech.vc,VERIFY,Funders & Capital,Venture Capital,Seed & Pre-Seed,
Quest Ventures Sustainable Impact Accelerator,https://questventures.com,CONFIDENT,Funders & Capital,Accelerators,Social Enterprise,"Impact Fintech, Economic Inclusion"
Radical Fund,https://radical.fund,CONFIDENT,Funders & Capital,Venture Capital,Seed & Pre-Seed,Economic Inclusion
Radical Partners,https://radicalpartners.com,VERIFY,Funders & Capital,Accelerators,Social Enterprise,"Youth & Education, Economic Inclusion"
Reach Capital,https://reachcap.com,CONFIDENT,Funders & Capital,Venture Capital,Impact VC,"Ed Tech, Youth & Education"
Realize Impact,https://realizeimpact.org,CONFIDENT,Funders & Capital,Foundations & Grants,DAF Platforms,Catalytic Capital
REDF,https://redf.org,CONFIDENT,Funders & Capital,Foundations & Grants,Corporate Foundations,"Workforce Development, Criminal Justice Reform"
Regenerate Ventures,https://regenerateventures.com,VERIFY,Funders & Capital,Venture Capital,Climate Tech VC,Regenerative Ag.
Regeneration.VC,https://regeneration.vc,CONFIDENT,Funders & Capital,Venture Capital,Climate Tech VC,Circular Economy
Remove Accelerator,https://remove.vc,VERIFY,Funders & Capital,Accelerators,Climate & Cleantech,Carbon & Climate Tech
Renewal Funds,https://renewalfunds.com,CONFIDENT,Funders & Capital,Venture Capital,Impact VC,Carbon & Climate Tech
Republic,https://republic.com,CONFIDENT,Funders & Capital,Venture Capital,Seed & Pre-Seed,"Web3 & Blockchain, Impact Fintech"
Responsibly Ventures,https://responsibly.vc,CONFIDENT,Funders & Capital,Venture Capital,Seed & Pre-Seed,
Root Capital,https://rootcapital.org,CONFIDENT,Funders & Capital,Debt & Lending,Microfinance,"Food Systems, Economic Inclusion"
Rubio Impact Ventures,https://rubioimpact.com,VERIFY,Funders & Capital,Venture Capital,Impact VC,
SEA Change,https://seachangeaccelerator.org,VERIFY,Funders & Capital,Accelerators,Social Enterprise,
Seed Spot,https://seedspot.org,CONFIDENT,Funders & Capital,Accelerators,Social Enterprise,
SIMA Funds,https://simafunds.com,CONFIDENT,Funders & Capital,Venture Capital,Impact VC,"Economic Inclusion, Global Development"
Social Impact Capital,https://socialimpactcapital.vc,CONFIDENT,Funders & Capital,Venture Capital,Seed & Pre-Seed,
Social Innovation Circle,https://socialinnovationcircle.com,VERIFY,Funders & Capital,Accelerators,Social Enterprise,
Society for Science & the Public,https://www.societyforscience.org,CONFIDENT,Funders & Capital,Foundations & Grants,Corporate Foundations,Youth & Education
Steward,https://www.gosteward.com,CONFIDENT,Funders & Capital,Debt & Lending,Revenue-Based Finance,"Regenerative Ag., Food Systems"
SustainVC,https://sustainvc.com,VERIFY,Funders & Capital,Venture Capital,Seed & Pre-Seed,
SVX México,https://svx.mx,CONFIDENT,Funders & Capital,Venture Capital,Impact VC,"Economic Inclusion, Global Development"
TechLeap / Netherlands Royal Family,https://techleap.nl,CONFIDENT,Funders & Capital,Accelerators,Social Enterprise,
Techstars,https://techstars.com,CONFIDENT,Funders & Capital,Accelerators,Social Enterprise,
Techstars Sustainability Accelerator,https://techstars.com/accelerators/sustainability,CONFIDENT,Funders & Capital,Accelerators,Climate & Cleantech,
Tenacious Ventures,https://tenaciousventures.com.au,CONFIDENT,Funders & Capital,Venture Capital,Climate Tech VC,"Food Systems, Regenerative Ag."
The Acumen Fellowship,https://acumen.org/fellowship,CONFIDENT,Funders & Capital,Accelerators,Fellowship Programs,"Economic Inclusion, Global Development"
The Beacon Fund,https://thebeaconfund.com,VERIFY,Funders & Capital,Debt & Lending,Revenue-Based Finance,Gender Equity
The Decarceration Fund,https://www.thedecarcerationfund.org,VERIFY,Funders & Capital,Foundations & Grants,Corporate Foundations,Criminal Justice Reform
The Ecosystem Integrity Fund,https://ecosystemintegrityfund.com,VERIFY,Funders & Capital,Venture Capital,Climate Tech VC,Biodiversity
The Foundry Group,https://foundry.vc,CONFIDENT,Funders & Capital,Venture Capital,Seed & Pre-Seed,
The Global Steering Group,https://gsgimpact.org,CONFIDENT,Funders & Capital,Foundations & Grants,Gov & Multilateral,Global Development
The Grassroots Business Fund,https://gbfund.org,CONFIDENT,Funders & Capital,Debt & Lending,Microfinance,"Economic Inclusion, Global Development"
The Reinvestment Fund,https://reinvestment.com,CONFIDENT,Funders & Capital,Debt & Lending,CDFIs,"Economic Inclusion, Homelessness & Housing"
Tiger 21,https://tiger21.com,CONFIDENT,Funders & Capital,Foundations & Grants,Family Offices,
Tin Shed Ventures,https://tinshedventures.com,CONFIDENT,Funders & Capital,Venture Capital,Climate Tech VC,Biodiversity
Top Tier Impact,https://toptierimpact.com,CONFIDENT,Funders & Capital,Accelerators,Fellowship Programs,Global Development
Transformational Capital,https://transformationcapital.com,VERIFY,Funders & Capital,Venture Capital,Growth Equity,Health Tech
Transition VC,https://transition.vc,CONFIDENT,Funders & Capital,Venture Capital,Climate Tech VC,Carbon & Climate Tech
Turner Impact Capital,https://turnerimpactcapital.com,CONFIDENT,Funders & Capital,Venture Capital,Impact VC,"Economic Inclusion, Homelessness & Housing"
TZP Group,https://tzpgroup.com,CONFIDENT,Funders & Capital,Venture Capital,Growth Equity,
University Impact,https://universityimpact.com,VERIFY,Funders & Capital,Venture Capital,Impact VC,Ed Tech
Unreasonable,https://unreasonablegroup.com,CONFIDENT,Funders & Capital,Accelerators,Social Enterprise,Global Development
Village Capital,https://vilcap.com,CONFIDENT,Funders & Capital,Accelerators,Social Enterprise,"Economic Inclusion, Global Development"
Vital Capital,https://vital.vc,CONFIDENT,Funders & Capital,Venture Capital,Growth Equity,"Economic Inclusion, Global Development"
Watson Institute Venture Accelerator,https://watsoninstitute.org,CONFIDENT,Funders & Capital,Accelerators,Social Enterprise,
Working Capital Fund,https://workingcapitalfund.com,VERIFY,Funders & Capital,Foundations & Grants,Corporate Foundations,"Economic Inclusion, Global Development"
Yale Planetary Solutions Impact Accelerator,https://planetarysolutions.yale.edu,CONFIDENT,Funders & Capital,Accelerators,Climate & Cleantech,"Carbon & Climate Tech, Biodiversity"
Youth Skills and Employment Accelerator,https://gbc-education.org,VERIFY,Funders & Capital,Accelerators,Fellowship Programs,"Workforce Development, Youth & Education"
Zouk Capital,https://zoukcapital.com,CONFIDENT,Funders & Capital,Venture Capital,Growth Equity,"Clean Energy, Circular Economy"
